word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
dobrodziejstwo,H,5.3076925,1.1923077,1.3076923,1.1538461,1.2307693,1.9914197,7.4267764,7.3312144,7.4438205,7.3749523,4.463489
kakao,H,5.1923075,1.1923077,1.3461539,1.1923077,1.3461539,2.196018,7.5312533,7.41741,7.562106,7.426959,4.567326
"masaż",H,5.5,1.1923077,1.0769231,1.1923077,1.1923077,1.8111858,7.4978666,7.6059527,7.5074835,7.504282,4.609275
"szczęśliwy",H,6.5,1.2692307,1.3846154,1.4230769,1.1538461,1.1013889,8.176884,8.086462,8.066401,8.271592,5.7590284
medal,H,5.5384617,1.5,1.3461539,1.1153846,1.0,1.9892392,7.3825994,7.496841,7.6917577,7.783203,4.7582855
"łagodzić",H,5.0,1.3076923,1.3076923,1.3076923,1.1153846,2.3444197,7.1528726,7.150384,7.1489587,7.316553,4.20088
owocowy,H,5.1153846,1.1538461,1.1153846,1.1538461,1.3461539,2.144527,7.353798,7.3899355,7.353798,7.148986,4.3386097
malinowy,H,4.923077,1.0769231,1.2307693,1.0769231,1.1923077,2.2523792,7.261772,7.101023,7.261772,7.156579,4.0411177
"miły",H,5.3846154,1.3846154,1.5,1.2692307,1.2692307,2.1784048,7.4616504,7.3308477,7.5575266,7.5569334,4.804986
"wolność",H,5.8846154,1.3461539,1.4230769,2.1923077,1.2307693,2.3761327,8.016722,7.968496,7.3462243,8.108694,5.458663
czysty,H,5.423077,1.2692307,1.2692307,1.1538461,1.0,1.8911794,7.4520392,7.449369,7.549721,7.667522,4.5529284
udany,H,5.5,1.3461539,1.1538461,1.3846154,1.1538461,1.8748109,7.4635673,7.6301303,7.422907,7.6160026,4.738273
wygodny,H,5.0,1.3461539,1.2692307,1.2307693,1.4615384,2.4269707,7.2070413,7.2697263,7.312813,7.125367,4.3295317
"rozkwitać",H,5.6923075,1.2692307,1.3461539,1.5769231,1.3461539,2.0861979,7.842198,7.7570224,7.589988,7.7831087,5.099179
puchar,H,5.0384617,1.2692307,1.1153846,1.3076923,1.1153846,2.2610536,7.2817783,7.443497,7.2565665,7.443497,4.3061514
wypoczynek,H,6.076923,1.4615384,1.3461539,1.5,1.0769231,1.5496253,7.791453,7.8612237,7.7592063,8.074729,5.3966665
wsparcie,H,5.423077,1.5,1.6153846,1.7692307,1.2307693,2.391919,7.5433736,7.434817,7.301003,7.7760134,5.0774646
dobroduszny,H,5.269231,1.5384616,1.5,1.3076923,1.1923077,2.3603907,7.1943073,7.233602,7.386887,7.487038,4.559097
"wspierać",H,5.5384617,1.3846154,1.8076923,1.4230769,1.0769231,2.3600445,7.5511017,7.195792,7.5308833,7.7926226,4.9017725
oklaski,H,5.423077,1.4615384,1.1538461,1.6538461,1.2692307,2.2314448,7.4253354,7.6755533,7.292548,7.6035767,4.898572
"żart",H,5.423077,1.8076923,1.4615384,1.5384616,1.5,2.4626372,7.2200894,7.5102262,7.420595,7.5067453,5.1048236
bezpieczny,H,5.730769,1.1153846,1.2307693,1.8076923,1.1923077,1.9975187,7.895526,7.7903647,7.192014,7.83711,5.1620307
harmonia,H,5.6538463,1.4230769,1.3846154,1.2307693,1.2692307,1.8435851,7.5924816,7.62237,7.7474065,7.7145267,4.9951606
wycieczka,H,5.8076925,1.2692307,1.2307693,1.8076923,1.0769231,1.9133627,7.7011003,7.728802,7.224801,7.8648076,5.093892
"wypoczęty",H,6.076923,1.3846154,1.1923077,1.2692307,1.1538461,1.5239193,7.8637137,7.975209,7.9559827,8.015631,5.350748
zadowolony,H,5.6538463,1.3076923,1.2307693,1.1153846,1.1538461,1.7231299,7.5268607,7.5814056,7.6681347,7.649407,4.8021727
"ogród",H,5.6923075,1.2307693,1.9230769,1.5769231,1.0769231,2.3705084,7.7594776,7.233212,7.4989986,7.886927,5.049837
inteligentny,H,6.1153846,1.3461539,1.4230769,1.3846154,1.0769231,1.7119489,7.831164,7.7877555,7.81413,8.062837,5.408183
"spełniać",H,5.423077,1.4615384,1.3846154,1.5769231,1.2307693,2.3465686,7.3747525,7.449893,7.2728324,7.5690036,4.74559
wytchnienie,H,5.1538463,1.3846154,1.4615384,1.2692307,1.3461539,2.4538486,7.295176,7.2283072,7.4046345,7.29601,4.516911
"lubić",H,5.923077,1.4615384,1.5,1.3846154,1.0769231,1.7522897,7.657563,7.6245074,7.7224684,7.969563,5.280617
biust,H,5.4444447,1.2962962,1.4444444,1.3703704,1.1111112,2.2052045,7.632617,7.5215635,7.5478063,7.769139,4.8133335
"fotografować",H,4.9259257,1.3703704,1.2222222,1.3703704,1.1481482,2.4979644,7.1284757,7.3139234,7.181463,7.3619027,4.2330546
mama,H,6.3333335,1.7407408,2.0370371,1.6296296,1.1481482,2.169335,7.8843055,7.682111,7.9741635,8.337671,5.8876123
toast,H,5.4074073,1.2962962,1.1481482,1.1851852,1.1111112,1.9581548,7.3903995,7.509097,7.477291,7.5201716,4.5131974
"osiągnięcie",H,5.9259257,1.2962962,1.2222222,1.7407408,1.1111112,1.7780017,7.790524,7.859948,7.41829,7.9408336,5.2259855
wynagrodzenie,H,5.9259257,1.5555556,1.3333334,1.5555556,1.037037,1.8699809,7.6103435,7.806818,7.602756,8.020363,5.273038
"anioł",H,5.3703704,1.2592592,1.2962962,1.6666666,1.1481482,2.1346354,7.5377154,7.522243,7.1685853,7.644295,4.7455873
"dawać",H,5.6296296,1.5555556,1.4444444,1.7777778,1.1851852,2.2798967,7.5390773,7.645481,7.363764,7.843173,5.122711
pozytywny,H,5.7777777,1.1111112,1.1481482,1.1481482,1.037037,1.3964452,7.6953845,7.680553,7.6541986,7.766711,4.8756895
sport,H,5.5185184,1.6666666,1.2222222,1.925926,1.2222222,2.4371107,7.377295,7.766137,7.197083,7.7436094,5.0521717
"dziękować",H,5.3703704,1.2592592,1.2962962,1.3703704,1.2962962,2.0418398,7.529343,7.5084434,7.4196134,7.493653,4.7092533
jedwabny,H,4.814815,1.0,1.0,1.074074,1.0,2.2309656,7.299283,7.299283,7.239626,7.299283,3.8224397
talent,H,6.259259,1.6666666,1.1481482,1.6296296,1.037037,1.6550816,7.6890073,8.165699,7.7841115,8.238279,5.61398
wierny,H,5.814815,1.2962962,1.3703704,1.7407408,1.1111112,1.9282838,7.870107,7.8247356,7.516195,8.026932,5.2215815
"pieścić",H,5.962963,1.037037,1.2222222,1.2592592,1.1111112,1.4517676,7.91867,7.779185,7.7459536,7.856258,5.111994
przerwa,H,5.4444447,1.3703704,1.1481482,1.074074,1.037037,1.7862039,7.3007264,7.490044,7.5566993,7.5834193,4.534179
niebo,H,5.888889,1.1481482,1.4074074,1.925926,1.074074,2.0897193,8.04919,7.856087,7.4098573,8.102236,5.289262
hobby,H,6.259259,1.2592592,1.1481482,1.074074,1.037037,1.1029881,7.89223,7.9639974,8.029152,8.053187,5.3603067
"zyskiwać",H,5.7777777,1.4814814,1.1851852,1.6666666,1.074074,1.9972265,7.541626,7.7712727,7.3642497,7.848864,5.0494204
"śmiech",H,6.5185184,1.037037,1.0,1.1111112,1.1111112,0.5935121,8.165165,8.199965,8.106034,8.105508,5.556695
"lekkość",H,5.4074073,1.1111112,1.074074,1.1851852,1.037037,1.8084182,7.5491943,7.581,7.4929614,7.60754,4.45825
"osiągać",H,5.740741,1.3333334,1.1851852,2.148148,1.037037,2.1769037,7.670429,7.8166227,6.9812846,7.9347115,5.1669583
lojalny,H,5.851852,1.1851852,1.1851852,1.5925926,1.1481482,1.7305875,7.8018017,7.793137,7.4583526,7.826222,5.0945244
lizak,H,4.888889,1.2222222,1.3333334,1.1851852,1.037037,2.4407568,7.1750774,7.0759254,7.201187,7.3367105,4.0413585
kanaryjski,H,4.7777777,1.2222222,1.1851852,1.3333334,1.1111112,2.4817395,7.203846,7.2570004,7.1118207,7.3176074,4.0441546
szampan,H,5.259259,1.1851852,1.3703704,1.2592592,1.4814814,2.3877094,7.5456963,7.3900256,7.487903,7.239353,4.580532
krajobraz,H,5.740741,1.1481482,1.3333334,1.3333334,1.074074,1.7962422,7.7098417,7.5635347,7.573792,7.759772,4.872973
zgoda,H,5.4814816,1.2592592,1.2222222,1.3333334,1.037037,1.8365585,7.492106,7.524587,7.428299,7.678365,4.637093
"pachnieć",H,5.296296,1.1851852,1.2592592,1.4074074,1.3703704,2.2704334,7.564557,7.5302734,7.3897185,7.3622956,4.6823306
dyplom,H,5.814815,1.5555556,1.4444444,2.2962964,1.1481482,2.4842246,7.740614,7.8176208,7.134707,8.029031,5.443563
zapas,H,4.851852,1.2222222,1.2222222,1.4814814,1.1111112,2.4634173,7.2223353,7.190725,6.9973073,7.3217998,4.1194515
weekend,H,6.2222223,1.2222222,1.1111112,1.3333334,1.0,1.1165398,7.9000773,7.9865294,7.798202,8.074948,5.3370166
zaleta,H,4.8846154,1.1538461,1.1153846,1.3461539,1.0769231,2.43863,7.268043,7.3035116,7.104076,7.3372416,4.038528
"roześmiany",H,6.1923075,1.1153846,1.1153846,1.1538461,1.0,0.98969424,7.9676685,7.9676685,7.940327,8.062717,5.262008
humor,H,5.6153846,1.2307693,1.5,1.4615384,1.0769231,2.1467848,7.6820245,7.457538,7.506403,7.80708,4.8896947
"jeść",H,5.5,1.5384616,1.5769231,1.5384616,1.3461539,2.43324,7.466367,7.4247828,7.464065,7.5957713,4.9085736
zaufany,H,5.6923075,1.3846154,1.4230769,2.0384614,1.1538461,2.4061396,7.859208,7.8294806,7.270739,8.018585,5.223893
"radość",H,6.0384617,1.1538461,1.1923077,1.1538461,1.1153846,1.2012135,7.863227,7.8363056,7.8632274,7.8941092,5.204648
"nagradzać",H,5.3846154,1.3076923,1.2307693,1.2307693,1.0,2.0749876,7.4319315,7.4727473,7.4537015,7.6771855,4.609013
soczysty,H,4.769231,1.1153846,1.1538461,1.1923077,1.1538461,2.4945903,7.2321515,7.1991224,7.1742015,7.1740417,3.881734
"posiłek",H,5.1923075,1.3461539,1.3076923,1.3461539,1.2692307,2.3763182,7.3521066,7.382454,7.3492103,7.4135156,4.452377
"spełnienie",H,6.0,1.4230769,1.4615384,2.0384614,1.1538461,2.1872547,7.926402,7.907455,7.4280453,8.129788,5.5668554
"słoneczny",H,5.923077,1.1153846,1.1923077,1.0769231,1.0384616,1.2782056,7.795283,7.7209287,7.8279777,7.85599,4.9822483
wakacje,H,5.9615383,1.1538461,1.6538461,1.6538461,1.1153846,1.850842,7.994792,7.612611,7.6086316,8.024621,5.364152
optymistyczny,H,5.6538463,1.1538461,1.2692307,1.4230769,1.1153846,1.7811774,7.6734066,7.572095,7.457125,7.7039895,4.842498
"róża",H,5.0384617,1.3461539,1.6538461,1.3846154,1.0384616,2.4532392,7.320706,6.997539,7.273057,7.5639753,4.50265
spokojny,H,5.4615383,1.3076923,1.2692307,1.6153846,1.1538461,2.3666444,7.690267,7.6801553,7.4444113,7.7885327,4.782524
polana,H,5.4615383,1.3461539,1.5,1.8076923,1.3461539,2.410396,7.631828,7.513021,7.240489,7.631828,4.9406285
"spokój",H,5.730769,1.3846154,1.8846154,1.6923077,1.3461539,2.4897864,7.947395,7.5618854,7.7328033,7.9771905,5.3626895
cud,H,5.6538463,1.3846154,1.3846154,1.8846154,1.2692307,2.3184454,7.8038197,7.7834086,7.3933687,7.872718,5.198448
"sierpień",H,5.1923075,1.5,1.6923077,1.3461539,1.2307693,2.4247851,7.3097873,7.147967,7.466462,7.5708747,4.636076
truskawkowy,H,5.076923,1.1923077,1.2307693,1.4615384,1.3461539,2.3881018,7.611707,7.5737076,7.3521657,7.440312,4.667125
"śliczny",H,5.3846154,1.2307693,1.2692307,1.3461539,1.2307693,2.0050921,7.641225,7.590327,7.5329156,7.617917,4.8260765
sobota,H,5.076923,1.3846154,1.4230769,1.5769231,1.4615384,2.4898183,7.644378,7.5835843,7.460462,7.5495825,4.9366307
kochany,H,5.9615383,1.3076923,1.4230769,1.6538461,1.1153846,1.7538788,7.977963,7.868002,7.6948447,8.080059,5.3649516
radosny,H,5.8461537,1.5769231,1.5769231,1.6153846,1.3076923,2.165555,7.9407907,7.9080524,7.905232,8.09845,5.4693913
"ciepły",H,5.5,1.6153846,1.4230769,1.6538461,1.1153846,2.2813947,7.4698997,7.6097484,7.445913,7.8428044,4.988695
sukces,H,6.0,1.5769231,1.5769231,2.2692308,1.3461539,2.3148868,7.973861,7.9873037,7.4203625,8.114724,5.7823205
raj,H,6.3076925,1.2307693,1.8846154,1.9230769,1.1153846,2.0712514,8.179598,7.6969647,7.6680374,8.268403,5.7341275
genialny,H,5.423077,1.6538461,1.4230769,1.5769231,1.1923077,2.402369,7.4235287,7.6046805,7.483024,7.787206,4.997599
wiosna,H,6.076923,1.3076923,1.4615384,1.4615384,1.0769231,1.6388009,7.872239,7.7436805,7.7592387,8.051819,5.362309
sjesta,H,5.8076925,1.2692307,1.2692307,1.0769231,1.1923077,1.5655668,7.677965,7.6836023,7.8352194,7.7298427,4.977592
upojny,H,5.269231,1.1538461,1.5,1.6153846,1.3461539,2.4162564,7.615689,7.3146615,7.2292905,7.451583,4.6946726
"pozdrawiać",H,5.1153846,1.0769231,1.3461539,1.4230769,1.2692307,2.4457695,7.506236,7.2538714,7.2432256,7.366953,4.368437
maj,H,5.576923,1.3076923,1.9230769,1.3461539,1.3076923,2.2403188,7.737577,7.211606,7.6931105,7.722745,5.127215
"wesoły",H,6.0384617,1.1923077,1.2307693,1.1923077,1.1923077,1.2586372,7.8706465,7.8166156,7.862933,7.8706465,5.219586
rozradowany,H,6.0384617,1.1923077,1.3076923,1.0769231,1.1923077,1.2325763,7.8207045,7.705394,7.9045267,7.812955,5.2091293
koniczyna,H,4.730769,1.0769231,1.0384616,1.0,1.0,2.3004832,7.2174582,7.256898,7.2877803,7.2877803,3.7455542
"łóżko",H,5.269231,1.1923077,1.6923077,1.5769231,1.1923077,2.4891324,7.6125216,7.2016044,7.2888494,7.617051,4.7452707
deser,H,5.3846154,1.2692307,1.1538461,1.1923077,1.0,2.0260653,7.4320493,7.5143585,7.495326,7.6337996,4.5023046
"całować",H,5.8461537,1.1153846,1.3076923,1.3076923,1.1923077,1.5566471,7.7811856,7.627508,7.6352735,7.713065,5.0178256
ulga,H,5.423077,1.0,1.1153846,1.1153846,1.0,1.6727656,7.575059,7.464406,7.480364,7.575059,4.4697247
"miś",H,5.1923075,1.0769231,1.5769231,1.4230769,1.0,2.3348403,7.5113397,7.0942054,7.1979065,7.578359,4.4341764
kwiat,H,5.3846154,1.1538461,1.4230769,1.2692307,1.1538461,2.1991162,7.511605,7.288402,7.417555,7.523113,4.5846515
"Paryż",H,5.1538463,1.1153846,1.3846154,1.4615384,1.0384616,2.3959544,7.526906,7.3071756,7.223216,7.5899987,4.3729
przyjaciel,H,6.037037,1.4444444,1.6296296,1.5555556,1.037037,1.9016432,7.8389983,7.6914525,7.7558146,8.135946,5.40917
"uśmiech",H,6.3333335,1.074074,1.2962962,1.2592592,1.1111112,1.0167402,8.100848,7.925011,7.9385653,8.076863,5.4916534
"pochwała",H,5.2222223,1.5185186,1.2962962,1.3703704,1.2222222,2.1827917,7.264471,7.469689,7.39762,7.539364,4.6671333
zdrowy,H,5.924528,1.3396226,1.1132076,1.8113208,1.1132076,1.9008707,7.8527136,8.012567,7.47059,8.024558,5.3104644
winogrono,H,4.888889,1.1851852,1.1851852,1.3333334,1.2962962,2.485324,7.2642922,7.256864,7.1116447,7.1553254,4.120666
"tańczyć",H,5.5185184,1.2592592,1.3703704,1.925926,1.2592592,2.331493,7.7238,7.644962,7.094372,7.7242575,5.0215497
"ładny",H,5.740741,1.5555556,1.5555556,1.4814814,1.4444444,2.3030658,7.6350822,7.5831947,7.6871223,7.7309666,5.2323017
"pomysł",H,5.3333335,1.3333334,1.2222222,1.8888888,1.074074,2.376526,7.4083915,7.5076056,6.9457603,7.624358,4.6206746
skowronek,H,4.851852,1.2222222,1.1851852,1.2222222,1.037037,2.4059231,7.1884637,7.2162585,7.1807218,7.3529243,4.008799
"zwycięzca",H,5.6296296,1.4814814,1.4444444,1.7777778,1.2222222,2.1732342,7.6081457,7.6250916,7.35108,7.8069825,5.133785
"świętować",H,5.740741,1.5185186,1.3703704,1.4074074,1.3703704,2.0292342,7.615299,7.744582,7.702404,7.719046,5.1478233
rozkoszny,H,5.296296,1.4074074,1.4814814,1.5555556,1.3703704,2.3661845,7.5138574,7.44938,7.3873806,7.536884,4.835511
"świetny",H,5.6666665,1.3703704,1.3703704,1.3703704,1.2222222,1.9743886,7.555593,7.567724,7.552752,7.690781,4.933031
"zachwycać",H,5.3333335,1.5925926,1.4814814,1.4074074,1.1851852,2.39593,7.2875104,7.357404,7.4260745,7.5998926,4.687017
uroczy,H,5.185185,1.2592592,1.5185186,1.2962962,1.1851852,2.3613698,7.42369,7.223347,7.4166455,7.485838,4.487791
"wspaniały",H,5.814815,1.2962962,1.4444444,1.2592592,1.2962962,1.8083956,7.7647023,7.651426,7.792474,7.7479253,5.075131
tort,H,5.5185184,1.3703704,1.4074074,1.4444444,1.2592592,2.1459649,7.53487,7.5209637,7.4877887,7.6166506,4.8321137
"szczęście",H,6.740741,1.1481482,1.2962962,1.4074074,1.0,0.7928968,8.418062,8.338818,8.256472,8.537486,6.0241942
lemoniada,H,5.037037,1.2592592,1.3333334,1.2592592,1.3333334,2.3045208,7.3010864,7.210865,7.306146,7.238362,4.386092
wygrany,H,5.5555553,1.3703704,1.4074074,1.5925926,1.1851852,2.0169108,7.606422,7.5431843,7.3940015,7.74335,5.0214934
komfort,H,5.5185184,1.1481482,1.1851852,1.2222222,1.2962962,1.8258448,7.64506,7.617552,7.5803843,7.4884458,4.799059
kolorowy,H,5.2222223,1.3703704,1.3703704,1.3333334,1.2962962,2.4104004,7.480913,7.482495,7.507888,7.5454884,4.559004
"zmysłowy",H,5.296296,1.2962962,1.3703704,1.3703704,1.2592592,2.2012389,7.3772154,7.3348603,7.318601,7.4046564,4.593994
perfumy,H,5.111111,1.2592592,1.2222222,1.1481482,1.4074074,2.4087524,7.313105,7.341706,7.4023924,7.1931415,4.2762084
super,H,6.185185,1.2962962,1.1851852,1.074074,1.1111112,1.1521803,7.8259497,7.915385,8.002306,7.975331,5.31283
"zwycięstwo",H,6.3703704,1.4074074,1.3703704,1.5555556,1.2222222,1.4672025,7.940708,7.9643483,7.8089437,8.091853,5.6273265
seks,H,5.9615383,1.3653846,1.5192307,2.3653846,1.3269231,2.4012709,8.012453,7.881609,7.1984587,8.033576,5.638053
"spać",H,5.5,1.3461539,1.3846154,1.3846154,1.0,2.0202062,7.493552,7.457056,7.465813,7.7519836,4.703446
"przyjemność",H,6.0384617,1.0384616,1.1923077,1.3076923,1.0384616,1.2933848,7.9391904,7.818812,7.7217474,7.9391904,5.119295
"miód",H,4.8076925,1.1153846,1.2692307,1.1538461,1.0769231,2.3886955,7.281181,7.143854,7.244589,7.308988,3.9695535
poduszka,H,5.230769,1.1153846,1.3846154,1.4230769,1.0384616,2.2732337,7.550694,7.3526807,7.318111,7.60986,4.4638147
"łąka",H,5.4615383,1.0769231,1.2307693,1.1538461,1.2307693,1.9330144,7.619441,7.503074,7.535706,7.4837513,4.6243567
melodyjny,H,5.230769,1.1538461,1.5384616,1.0,1.0,2.1924665,7.4486713,7.1297474,7.569447,7.569447,4.3850446
prezent,H,5.576923,1.1923077,1.3076923,1.3846154,1.0384616,1.9454043,7.633435,7.5454464,7.4695835,7.7606378,4.787356
zrelaksowany,H,6.1153846,1.0,1.0769231,1.0,1.0,0.96153843,7.949524,7.8930817,7.949524,7.949524,5.121751
wiosenny,H,5.6153846,1.0384616,1.0384616,1.0769231,1.0384616,1.4437166,7.665111,7.667959,7.631381,7.667959,4.637206
lato,H,5.8076925,1.2307693,1.2307693,1.1153846,1.1923077,1.5293885,7.653269,7.6822023,7.7683735,7.713727,4.9667788
ciastko,H,5.6923075,1.3846154,1.5384616,1.4230769,1.3076923,2.3454382,7.71908,7.618755,7.7022166,7.801196,5.1029897
"słońce",H,5.8846154,1.4615384,1.0384616,1.2307693,1.1153846,1.5339642,7.620991,8.027923,7.8810096,7.956871,5.2058406
oaza,H,5.3846154,1.0769231,1.3076923,1.3846154,1.0,2.0740588,7.566573,7.399279,7.3118615,7.625849,4.5286894
muzyka,H,6.076923,1.6538461,2.3846154,1.3846154,1.2307693,2.418097,7.9805427,7.387302,8.199243,8.306418,5.8097425
"mamrotać",A,1.4230769,2.9615386,2.3076923,2.3076923,1.9230769,6.7951403,5.379848,6.111363,6.1490393,6.505868,3.4456468
uparty,A,2.6538463,3.6153846,2.3846154,1.8846154,2.0384614,6.212497,5.459895,6.764518,7.219488,7.0505056,4.540093
"żądać",A,1.6538461,3.8076923,2.8076923,3.3076923,2.3846154,7.4382524,5.4391174,6.536418,6.0582423,6.8801703,5.123592
rozrzutny,A,1.9615384,3.8461537,2.5,2.7307692,2.6923077,7.06208,5.2912374,6.817699,6.5671377,6.5747857,4.9363933
moralista,A,1.8076923,3.6153846,2.1153846,2.2307692,2.5769231,6.906389,5.2142234,6.8298845,6.7399683,6.3827367,4.145139
"nieprawidłowy",A,1.5,3.6923077,2.8076923,2.8076923,2.1153846,7.3677697,5.1822443,6.255055,6.227994,6.880373,4.5235286
"paplać",A,1.9615384,3.6923077,1.7307693,1.9615384,3.0769231,6.901939,5.0266256,7.123126,6.9559093,5.869435,4.60824
"nadepnąć",A,1.3846154,3.2307692,2.6153846,2.3461537,2.3076923,7.1862206,5.45008,6.054215,6.436916,6.422063,4.269052
"pośpiech",A,2.1538463,4.0384617,2.1153846,3.3461537,2.3461537,6.994306,5.458227,7.3327785,6.097152,7.145963,5.3226547
"ustępować",A,2.8076923,3.0,2.1538463,1.8846154,1.5769231,5.3906884,5.362323,6.3740387,6.620096,6.906629,4.113216
"próżny",A,1.3846154,4.3076925,3.0,2.1153846,3.8846154,8.083376,5.4616046,6.9743185,7.669299,5.934441,5.6414227
pedantyczny,A,2.2962964,3.074074,1.6666666,2.1851852,2.074074,6.1086636,5.338082,6.84901,6.4160886,6.5191784,3.9426808
"przeoczyć",A,1.3703704,4.296296,2.8888888,3.4444444,1.962963,7.83411,5.202238,6.68466,6.1863685,7.436088,5.106747
"pouczać",A,1.7037038,4.3333335,2.148148,2.2962964,2.4444444,7.3440714,4.5875564,7.1514153,6.9980874,6.818412,4.8440146
balast,A,1.5925926,3.2222223,2.4814816,2.7407408,2.1851852,6.9962807,5.378949,6.205862,5.9485188,6.4783955,4.1668324
"głodny",A,1.2962962,4.259259,3.7777777,2.8888888,1.8518518,8.0986,5.470678,6.0239286,6.9055533,7.757775,5.391671
krzykliwy,A,2.2592592,3.925926,2.2592592,2.4444444,2.851852,6.9128656,5.3869452,7.085221,6.91852,6.6558795,5.028068
"głośny",A,3.1111112,3.7777777,1.5185186,2.2592592,1.962963,5.726486,5.2253423,7.3597684,6.842444,7.08956,4.7056875
"drzeć",A,1.1153846,4.076923,2.2692308,2.5769231,2.3076923,7.857045,4.9641004,7.048342,6.7539287,6.9747195,4.625721
"podżegać",A,1.2307693,3.8846154,1.9615384,2.7692308,3.0769231,7.7441206,5.3000565,7.26403,6.542484,6.2613,4.6644983
"wścibski",A,1.0384616,5.0384617,2.4615386,2.2692308,4.076923,8.723223,5.3146024,7.7778397,7.921644,6.3151083,5.9980083
niegrzeczny,A,1.4615384,3.8846154,2.3846154,2.1153846,2.1923077,7.351229,4.9853315,6.760495,6.9983816,6.89286,4.296259
komar,A,1.1923077,4.769231,1.5769231,2.0384614,3.9615386,8.157049,4.846432,7.9013257,7.5206065,5.8769803,5.3949504
"wypraszać",A,1.1538461,4.1923075,3.3076923,2.3461537,2.7307692,8.067509,5.3413677,6.3372455,7.273435,6.7859426,5.171407
klakson,A,1.6923077,3.8076923,1.7307693,2.6923077,2.3076923,7.148843,5.1944094,7.2756186,6.4074726,6.8538566,4.498859
ordynarny,A,1.0769231,4.3461537,2.3076923,2.2307692,4.0384617,8.315046,5.460538,7.504146,7.505051,5.752053,5.5139313
negacja,A,1.1923077,3.3076923,2.6153846,2.3076923,1.8846154,7.1415625,5.012158,5.865847,6.0240326,6.539188,3.8383493
posiedzenie,A,1.3846154,2.6923077,1.5,1.8076923,2.4615386,6.858056,5.480811,6.760056,6.3625336,5.802491,3.2256978
malkontent,A,1.4615384,2.8461537,1.9230769,1.6923077,2.2307692,6.7745633,5.2722344,6.34444,6.548917,6.03063,3.0978136
przekorny,A,2.1538463,2.8076923,1.7307693,1.5769231,1.8461539,5.86423,5.181836,6.41172,6.574065,6.3281384,3.050382
"obowiązywać",A,1.8076923,2.5384614,1.8846154,1.9230769,1.6923077,6.207688,5.464604,6.173161,6.1662292,6.345278,2.8513618
"niecierpliwość",A,1.1538461,3.8846154,2.3846154,2.4230769,2.5,7.696465,5.1079283,6.6877337,6.753262,6.635773,4.672562
"upominać",A,1.3461539,3.8846154,2.8076923,2.8461537,2.6153846,7.629272,5.469627,6.5190153,6.5299273,6.7685094,4.8612466
"strajkować",A,1.6923077,4.0384617,2.4230769,3.1923077,2.1923077,7.560769,5.431344,7.0011063,6.322793,7.254797,5.176664
"przeszkadzać",A,1.6153846,5.0,2.5,2.1153846,3.3461537,8.138311,4.793361,7.563177,7.915817,6.9199114,5.8048153
baner,A,1.8846154,3.5384614,2.0384614,1.6538461,2.7692308,6.908237,5.4478946,6.939416,7.240264,6.2781544,4.170328
buntownik,A,2.6153846,3.7307692,1.9230769,2.8846154,1.8846154,6.4882026,5.3189664,7.177254,6.2916465,7.178832,4.8241625
awaria,A,1.3076923,5.076923,3.1923077,3.6923077,2.4230769,8.630272,5.2281384,7.4779077,7.0360675,8.005067,6.213308
"zakazywać",A,1.4230769,5.076923,3.5384614,3.1538463,3.0,8.59083,5.463284,7.0341907,7.381754,7.381183,6.224085
tandetny,A,1.3461539,3.8846154,2.3846154,1.8076923,3.3846154,7.599698,5.262491,6.8522997,7.3376164,5.93337,4.7867517
arogancki,A,1.1538461,4.6923075,2.7692308,2.7692308,3.8846154,8.411178,5.305763,7.2338476,7.229738,6.214352,5.85019
"przeszkodzić",A,1.5769231,4.4615383,2.8461537,2.8076923,2.4230769,7.7116556,5.0252533,6.7117214,6.7249246,7.0292816,5.2053046
kopniak,A,1.8461539,3.7692308,2.1923077,3.0,2.5,7.119972,5.4244866,7.102071,6.3615804,6.844969,4.720805
weto,A,2.0384614,2.9615386,2.0,2.6923077,1.4615384,6.3365026,5.4322133,6.383085,5.7987695,6.938912,3.7786968
"irytować",A,1.0769231,5.230769,3.3076923,2.1153846,3.2692308,8.603431,4.700343,6.8542233,7.8768473,6.883792,6.026756
zagmatwany,A,1.5,3.6538463,2.5,3.3846154,2.0769231,7.4108553,5.4158792,6.6462655,5.8406577,7.100947,4.724919
"występek",A,1.2692307,2.7692308,1.8461539,2.5384614,2.0,6.7791777,5.296279,6.326976,5.623911,6.1715083,3.1803472
"głupota",A,1.8076923,4.0384617,2.6923077,2.4230769,3.1923077,7.4797597,5.2384634,6.7136493,6.9935384,6.2973943,5.2775755
raban,A,1.8076923,2.6538463,1.7307693,1.7692307,1.4615384,6.0568104,5.2262745,6.293782,6.216689,6.5370007,2.8776195
"trąbić",A,1.8076923,3.0,1.4230769,2.0,1.7692307,6.2943835,5.089403,6.82916,6.286186,6.529569,3.3280497
"niszczyć",A,1.5384616,4.3846154,3.0,3.0384614,2.6923077,8.007616,5.448679,6.728179,6.745735,7.1442037,5.5326633
"przekleństwo",A,2.0384614,3.5769231,2.3076923,1.9615384,2.4230769,6.739112,5.200202,6.6525316,6.871522,6.3466086,4.3695536
"musieć",A,1.2692307,3.8076923,2.5384614,2.3076923,2.6153846,7.511665,4.9997406,6.477376,6.6138525,6.384882,4.4589224
